CustomerID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,AverageOrderValue,PurchaseFrequency,CustomerValue,CLTV,CLTV_Segment
12346.0,326,12.0,207.4,2,1,3,213,17.283333333333335,0.002041510717931269,0.03528411024157877,0.0005342439284621487,Low Value
12347.0,2,8.0,554.57,5,1,5,515,69.32125,0.0013610071452875127,0.094346716570262,0.0014285229286752838,Low Value
12348.0,75,5.0,193.1,3,1,3,313,38.62,0.0008506294658046955,0.03285130996937734,0.0004974084020541993,Low Value
12349.0,19,4.0,1480.44,5,1,5,515,370.11,0.0006805035726437564,0.2518611772711807,0.003813481588488445,Medium Value
12350.0,310,1.0,65.3,2,1,2,212,65.3,0.0001701258931609391,0.011109220823409323,0.00016820698422651066,Low Value
12351.0,375,,49.46,2,,1,2nan1,,,,,
12352.0,36,10.0,1408.71,4,1,5,415,140.871,0.001701258931609391,0.23965804695474652,0.0036287114969330452,Low Value
12353.0,204,2.0,63.08,2,1,2,212,31.54,0.0003402517863218782,0.010731541340592038,0.00016248846194499682,Low Value
12354.0,232,,261.22,2,,4,2nan4,,,,,
12355.0,214,,107.43,2,,2,2nan2,,,,,
12356.0,23,6.0,448.3,4,1,4,414,74.71666666666667,0.0010207553589656345,0.076267437904049,0.0011547808733345288,Low Value
12357.0,33,3.0,1834.31,4,1,5,415,611.4366666666666,0.0005103776794828172,0.3120636270840421,0.004725019191983625,Medium Value
12358.0,2,,413.34,5,,4,5nan4,,,,,
12359.0,58,,2676.5,4,,5,4nan5,,,,,
12360.0,52,,696.13,4,,5,4nan5,,,,,
12361.0,287,,112.25,2,,2,2nan2,,,,,
12362.0,3,11.0,1178.29,5,1,5,515,107.11727272727272,0.00187138482477033,0.2004576386526029,0.0030351700986869104,Low Value
12363.0,110,,53.17,3,,2,3nan2,,,,,
12364.0,8,,162.37,5,,3,5nan3,,,,,
12365.0,291,,377.31,2,,4,2nan4,,,,,
12366.0,634,,5.07,1,,1,1nan1,,,,,
12367.0,4,,35.2,5,,1,5nan1,,,,,
12368.0,628,,79.05,1,,2,1nan2,,,,,
12369.0,413,,292.85,1,,4,1nan4,,,,,
12370.0,51,7.0,688.26,4,1,5,415,98.32285714285715,0.0011908812521265737,0.11709084722694794,0.0017728964619255472,Low Value
12371.0,45,,665.9300000000001,4,,5,4nan5,,,,,
12372.0,72,,156.07,3,,3,3nan3,,,,,
12373.0,311,,236.0,2,,4,2nan4,,,,,
12374.0,25,,288.72,4,,4,4nan4,,,,,
12375.0,11,,117.52000000000001,5,,3,5nan3,,,,,
12376.0,390,,104.4,2,,2,2nan2,,,,,
12377.0,315,,416.52,2,,4,2nan4,,,,,
12378.0,130,,1017.41,3,,5,3nan5,,,,,
12379.0,82,,235.55,3,,4,3nan4,,,,,
12380.0,22,,2740.82,4,,5,4nan5,,,,,
12381.0,5,,407.44,5,,4,5nan4,,,,,
12383.0,185,,305.61,3,,4,3nan4,,,,,
12384.0,29,,212.74,4,,3,4nan3,,,,,
12385.0,379,,239.25,2,,4,2nan4,,,,,
12386.0,338,,23.91,2,,1,2nan1,,,,,
12387.0,415,,24.86,1,,1,1nan1,,,,,
12388.0,16,,412.41,5,,4,5nan4,,,,,
12389.0,403,,130.06,2,,3,2nan3,,,,,
12390.0,80,,127.9,3,,3,3nan3,,,,,
12391.0,22,,1011.57,4,,5,4nan5,,,,,
12392.0,591,,35.25,1,,1,1nan1,,,,,
12393.0,72,,265.35,3,,4,3nan4,,,,,
12394.0,64,,91.00999999999999,3,,2,3nan2,,,,,
12395.0,19,15.0,872.38,5,1,5,515,58.15866666666667,0.0025518883974140864,0.14841442667574006,0.0022471731837599295,Low Value
12396.0,674,,149.46,1,,3,1nan3,,,,,
12397.0,36,,437.0,4,,4,4nan4,,,,,
12398.0,46,,169.38,4,,3,4nan3,,,,,
12399.0,119,,224.56,3,,3,3nan3,,,,,
12400.0,414,,32.05,1,,1,1nan1,,,,,
12401.0,303,,48.4,2,,1,2nan1,,,,,
12402.0,323,,231.35,2,,3,2nan3,,,,,
12403.0,50,,63.93000000000001,4,,2,4nan2,,,,,
12404.0,682,,63.24,1,,2,1nan2,,,,,
12405.0,149,,191.39000000000001,3,,3,3nan3,,,,,
12406.0,22,,419.96,4,,4,4nan4,,,,,
12407.0,50,,251.59,4,,4,4nan4,,,,,
12408.0,33,,490.83,4,,4,4nan4,,,,,
12409.0,79,,854.36,3,,5,3nan5,,,,,
12410.0,309,,240.59,2,,4,2nan4,,,,,
12411.0,410,,74.7,2,,2,2nan2,,,,,
12412.0,75,,326.11,3,,4,3nan4,,,,,
12413.0,67,,301.04,3,,4,3nan4,,,,,
12414.0,217,,457.8,2,,4,2nan4,,,,,
12415.0,24,28.0,2749.1,4,2,5,425,98.18214285714285,0.004763525008506295,0.46769309288873767,0.007081436758607971,Medium Value
12416.0,657,,16.88,1,,1,1nan1,,,,,
12417.0,3,20.0,2012.31,5,2,5,525,100.6155,0.003402517863218782,0.34234603606668934,0.005183531338879781,Medium Value
12418.0,113,,341.23,3,,4,3nan4,,,,,
12419.0,386,,126.09,2,,3,2nan3,,,,,
12420.0,64,,136.51,3,,3,3nan3,,,,,
12421.0,16,,310.12,5,,4,5nan4,,,,,
12422.0,96,17.0,1750.57,3,1,5,315,102.97470588235294,0.0028921401837359645,0.2978172847907451,0.004509312410067423,Medium Value
12423.0,1,,490.09,5,,4,5nan4,,,,,
12424.0,163,,201.4,3,,3,3nan3,,,,,
12425.0,78,,218.79,3,,3,3nan3,,,,,
12426.0,195,,273.91,2,,4,2nan4,,,,,
12427.0,22,,142.26,4,,3,4nan3,,,,,
12428.0,26,9.0,1360.46,4,1,5,415,151.16222222222223,0.001531133038448452,0.23144947260973123,0.0035044237941929362,Low Value
12429.0,9,,483.93,5,,4,5nan4,,,,,
12430.0,43,,68.48,4,,2,4nan2,,,,,
12431.0,36,27.0,1466.6200000000001,4,2,5,425,54.31925925925926,0.004593399115345355,0.2495100374276965,0.003777882499330553,Medium Value
12432.0,43,,1139.49,4,,5,4nan5,,,,,
12433.0,1,,1258.38,5,,5,5nan5,,,,,
12434.0,85,,251.75,3,,4,3nan4,,,,,
12435.0,80,,417.66,3,,4,3nan4,,,,,
12436.0,100,,84.28,3,,2,3nan2,,,,,
12437.0,2,39.0,1898.3799999999999,5,3,5,535,48.67641025641025,0.006634909833276624,0.3229635930588635,0.004890057805756865,Medium Value
12438.0,14,,381.7,5,,4,5nan4,,,,,
12439.0,683,,263.16,1,,4,1nan4,,,,,
12440.0,462,,174.34,1,,3,1nan3,,,,,
12441.0,367,,40.71,2,,1,2nan1,,,,,
12442.0,3,,40.08,5,,1,5nan1,,,,,
12443.0,732,,123.28,1,,3,1nan3,,,,,
12444.0,21,,1119.1299999999999,4,,5,4nan5,,,,,
12445.0,22,,87.29,4,,2,4nan2,,,,,
12446.0,58,,248.1,4,,4,4nan4,,,,,
12447.0,243,,92.93,2,,2,2nan2,,,,,
12448.0,44,,130.94,4,,3,4nan3,,,,,
12449.0,22,,732.62,4,,5,4nan5,,,,,
12450.0,156,,82.43,3,,2,3nan2,,,,,
12451.0,11,,1224.2,5,,5,5nan5,,,,,
